Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	hsa  Homo sapiens (human)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ptr  Pan troglodytes (chimpanzee)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	pps  Pan paniscus (bonobo)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ggo  Gorilla gorilla gorilla (western lowland gorilla)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	pon  Pongo abelii (Sumatran orangutan)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	nle  Nomascus leucogenys (northern white-cheeked gibbon)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mcc  Macaca mulatta (rhesus monkey)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mcf  Macaca fascicularis (crab-eating macaque)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	csab  Chlorocebus sabaeus (green monkey)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	rro  Rhinopithecus roxellana (golden snub-nosed monkey)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	rbb  Rhinopithecus bieti (black snub-nosed monkey)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	cjc  Callithrix jacchus (white-tufted-ear marmoset)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	sbq  Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mmu  Mus musculus (mouse)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mcal  Mus caroli (Ryukyu mouse)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mpah  Mus pahari (shrew mouse)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	rno  Rattus norvegicus (rat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mun  Meriones unguiculatus (Mongolian gerbil)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	cge  Cricetulus griseus (Chinese hamster)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ngi  Nannospalax galili (Upper Galilee mountains blind mole rat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	hgl  Heterocephalus glaber (naked mole rat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ccan  Castor canadensis (American beaver)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ocu  Oryctolagus cuniculus (rabbit)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	tup  Tupaia chinensis (Chinese tree shrew)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	cfa  Canis lupus familiaris (dog)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	vvp  Vulpes vulpes (red fox)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	aml  Ailuropoda melanoleuca (giant panda)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	umr  Ursus maritimus (polar bear)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	uah  Ursus arctos horribilis
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	oro  Odobenus rosmarus divergens (Pacific walrus)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	elk  Enhydra lutris kenyoni (northern sea otter)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	fca  Felis catus (domestic cat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ptg  Panthera tigris altaica (Amur tiger)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ppad  Panthera pardus (leopard)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	aju  Acinonyx jubatus (cheetah)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	bta  Bos taurus (cow)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	bom  Bos mutus (wild yak)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	biu  Bos indicus (zebu cattle)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	bbub  Bubalus bubalis (water buffalo)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	chx  Capra hircus (goat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	oas  Ovis aries (sheep)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ssc  Sus scrofa (pig)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	cfr  Camelus ferus (Wild Bactrian camel)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	cdk  Camelus dromedarius (Arabian camel)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	bacu  Balaenoptera acutorostrata scammoni (minke whale)
